Date,Sales,Cost Of Sales,Quantity Sold,year_number,month_name,day_name,gross_profit,gross_profit_pct,gross_profit_per_unit,unit_price,avg_unit_price
2013-12-30,223937.9679,230079.621,6827,2013,December,Monday,-6141.653100000025,-2.74,-0.9,32.8,37.07
2013-12-31,300345.4846,306986.1205,9268,2013,December,Tuesday,-6640.635899999994,-2.21,-0.72,32.41,37.07
2014-01-01,86782.46773,87986.31821,2678,2014,January,Wednesday,-1203.8504799999937,-1.39,-0.45,32.41,37.07
2014-01-02,200173.1168,202881.1777,6175,2014,January,Thursday,-2708.0609000000113,-1.35,-0.44,32.42,37.07
2014-01-03,326906.0742,333806.2919,10084,2014,January,Friday,-6900.217700000037,-2.11,-0.68,32.42,37.07
2014-01-04,307043.9354,313652.3483,9470,2014,January,Saturday,-6608.412899999996,-2.15,-0.7,32.42,37.07
2014-01-05,179188.8845,183083.285,5524,2014,January,Sunday,-3894.400500000018,-2.17,-0.7,32.44,37.07
2014-01-06,306351.9509,313446.0681,9448,2014,January,Monday,-7094.117199999979,-2.32,-0.75,32.43,37.07
2014-01-07,224020.41,229533.9737,6911,2014,January,Tuesday,-5513.563699999999,-2.46,-0.8,32.42,37.07
2014-01-08,101836.4022,99381.96752,2990,2014,January,Wednesday,2454.434679999991,2.41,0.82,34.06,37.07
2014-01-09,107804.3049,104816.4585,3159,2014,January,Thursday,2987.8464000000095,2.77,0.95,34.13,37.07
2014-01-10,144829.9567,141333.9963,4246,2014,January,Friday,3495.960400000011,2.41,0.82,34.11,37.07
2014-01-11,146571.4824,143179.67,4297,2014,January,Saturday,3391.8123999999953,2.31,0.79,34.11,37.07
2014-01-12,95422.37298,93126.14724,2796,2014,January,Sunday,2296.2257399999944,2.41,0.82,34.13,37.07
2014-01-13,114883.1738,112186.3087,3369,2014,January,Monday,2696.86510000001,2.35,0.8,34.1,37.07
2014-01-14,80090.80008,78096.76018,2348,2014,January,Tuesday,1994.0399000000034,2.49,0.85,34.11,37.07
2014-01-15,98945.37116,97159.00259,2903,2014,January,Wednesday,1786.3685699999915,1.81,0.62,34.08,37.07
